ID,price,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,priceByArea,hasPlan,has3DTour,has360,topPlus,suggestedTexts_subtitle,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex
107526421,1095000.0,43,3.0,146.0,1,3,2,1,1,1,7500.0,1,1,0,1,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
107246640,1195000.0,27,2.0,134.0,1,3,3,1,1,1,8918.0,1,1,1,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
106773918,790000.0,33,3.0,148.0,1,2,2,1,1,1,5338.0,1,1,0,1,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
102711209,2350000.0,44,5.0,218.0,1,4,4,1,1,1,10780.0,1,1,0,1,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
106822977,235000.0,34,0.0,38.0,0,0,1,1,1,1,6184.0,1,1,0,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,0,1,0,0
105113334,1030000.0,42,5.0,67.0,1,2,1,1,1,1,15373.0,1,1,0,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,0,0,1,0
106848960,1200000.0,30,4.0,132.0,1,2,2,1,1,1,9091.0,1,1,0,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
106500063,1195000.0,32,2.0,134.0,1,3,3,1,1,1,8918.0,1,1,0,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
106151385,1490000.0,30,5.0,216.0,1,2,3,1,1,1,6898.0,1,1,0,1,"Palacio, Madrid",0,0,0,0,1,0,0,0,0,1
107017486,1350000.0,37,3.0,151.0,1,2,2,1,1,1,8940.0,1,0,1,1,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
107087838,3450000.0,31,2.0,438.0,1,4,3,1,1,1,7877.0,1,0,1,1,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
107262952,1780000.0,32,6.0,145.0,1,2,2,1,1,1,12276.0,1,0,1,1,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
107293851,369000.0,23,2.0,81.0,0,1,1,1,1,0,4556.0,1,0,1,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107180416,1550000.0,25,4.0,128.0,1,2,2,1,1,1,12109.0,1,0,1,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107085261,720000.0,34,3.0,126.0,1,5,1,1,0,0,5714.0,1,0,0,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
106462249,500000.0,27,4.0,60.0,1,2,1,0,1,0,8333.0,1,0,1,1,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
107320613,938000.0,41,2.0,113.0,1,2,1,1,1,1,8301.0,1,0,1,1,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
105642431,3100000.0,21,10.0,137.0,1,2,2,0,1,1,22628.0,1,0,1,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,0,0,1,0
105639958,1555000.0,43,1.0,220.0,1,5,2,0,1,1,7068.0,1,0,1,1,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
107568284,1900000.0,21,2.0,159.0,1,3,2,0,1,0,11950.0,1,0,0,1,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
106508066,2000000.0,37,1.0,462.0,1,8,3,0,0,1,4329.0,1,0,0,1,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
106040091,790000.0,39,1.0,114.0,1,4,2,0,1,1,6930.0,1,0,0,1,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
107491323,1680000.0,22,1.0,212.0,1,3,3,0,1,1,7925.0,1,0,0,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
106837072,3450000.0,34,2.0,450.0,1,4,3,1,1,1,7667.0,1,0,0,1,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
107558488,500000.0,29,4.0,60.0,1,2,1,1,1,0,8333.0,1,1,0,1,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
107376551,1089000.0,23,2.0,174.0,1,4,2,1,1,1,6259.0,0,0,0,1,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
107249812,720000.0,26,3.0,126.0,1,5,1,0,0,0,5714.0,1,0,0,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107396902,759000.0,12,4.0,84.0,1,2,2,0,1,1,9036.0,1,0,0,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107551951,1900000.0,26,2.0,159.0,1,3,2,0,1,0,11950.0,1,0,0,1,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
96413799,1530000.0,39,4.0,145.0,1,3,3,1,1,1,10552.0,1,0,1,1,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
107380864,1680000.0,33,2.0,188.0,1,3,3,1,1,1,8936.0,0,0,0,1,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
105894081,395000.0,34,5.0,53.0,1,0,1,1,1,0,7453.0,1,0,1,1,"Palacio, Madrid",0,0,0,0,1,0,0,0,1,0
96412723,680000.0,40,4.0,80.0,1,2,1,1,1,1,8500.0,1,0,1,1,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
92762354,850000.0,48,4.0,105.0,1,2,2,0,1,1,8095.0,1,0,1,1,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
104066594,4500000.0,57,1.0,489.0,1,7,4,0,1,1,9202.0,1,0,0,1,"Chueca-Justicia, Madrid",1,0,0,0,0,0,0,0,0,1
107446696,1980000.0,27,3.0,294.0,1,2,2,0,0,1,6735.0,1,0,0,1,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
106598225,688800.0,34,3.0,106.0,1,2,1,1,1,1,6498.0,1,0,1,1,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107350281,1077000.0,41,4.0,137.0,1,2,2,1,1,1,7861.0,1,1,0,1,"Huertas-Cortes, Madrid",0,1,0,0,0,0,1,0,0,0
106627931,398000.0,40,5.0,33.0,0,1,1,1,1,1,12061.0,1,1,0,1,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
