ID,price,terraza,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,hasPlan,has3DTour,has360,topPlus,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex
107526421,1095000.0,0,43,3.0,146.0,1,3,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0
107246640,1195000.0,0,27,2.0,134.0,1,3,3,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0
106773918,790000.0,0,33,3.0,148.0,1,2,2,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0
102711209,2350000.0,1,44,5.0,218.0,1,4,4,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0
106822977,235000.0,0,34,0.0,38.0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0
105113334,1030000.0,1,42,5.0,67.0,1,2,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
106848960,1200000.0,0,30,4.0,132.0,1,2,2,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
106500063,1195000.0,0,32,2.0,134.0,1,3,3,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
106151385,1490000.0,0,30,5.0,216.0,1,2,3,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1
107017486,1350000.0,0,37,3.0,151.0,1,2,2,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
107262952,1780000.0,1,32,6.0,145.0,1,2,2,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0
107293851,369000.0,0,23,2.0,81.0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0
107180416,1550000.0,0,25,4.0,128.0,1,2,2,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0
107085261,720000.0,0,34,3.0,126.0,1,5,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
106462249,500000.0,0,27,4.0,60.0,1,2,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0
107320613,938000.0,1,41,2.0,113.0,1,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
105642431,3100000.0,1,21,10.0,137.0,1,2,2,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0
105639958,1555000.0,0,43,1.0,220.0,1,5,2,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
107568284,1900000.0,0,21,2.0,159.0,1,3,2,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
106508066,2000000.0,0,37,1.0,462.0,1,8,3,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
106040091,790000.0,0,39,1.0,114.0,1,4,2,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
107491323,1680000.0,0,22,1.0,212.0,1,3,3,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
107558488,500000.0,0,29,4.0,60.0,1,2,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
107376551,1089000.0,0,23,2.0,174.0,1,4,2,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
107249812,720000.0,0,26,3.0,126.0,1,5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
107396902,759000.0,0,12,4.0,84.0,1,2,2,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
107551951,1900000.0,0,26,2.0,159.0,1,3,2,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
96413799,1530000.0,0,39,4.0,145.0,1,3,3,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
107380864,1680000.0,0,33,2.0,188.0,1,3,3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
105894081,395000.0,1,34,5.0,53.0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
96412723,680000.0,0,40,4.0,80.0,1,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
92762354,850000.0,0,48,4.0,105.0,1,2,2,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
107446696,1980000.0,0,27,3.0,294.0,1,2,2,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
106598225,688800.0,0,34,3.0,106.0,1,2,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0
107350281,1077000.0,0,41,4.0,137.0,1,2,2,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0
106627931,398000.0,0,40,5.0,33.0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0
106205571,279000.0,0,50,6.0,72.0,0,3,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
106420192,205000.0,0,27,1.0,37.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
105095861,998800.0,0,43,1.0,256.0,1,4,2,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
107260671,448000.0,0,30,5.0,94.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
105367340,529000.0,0,34,2.0,87.0,1,3,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
