Modelo,RMSE CV Inicial,RMSE Val Inicial,MAPE Val Inicial,RMSE CV Optimizado,RMSE Val Optimizado,MAPE Val Optimizado
Dummy Regressor,,"584,693.47 €",73.68 %,,,
Regresión Lineal,"272,391.46 €","222,234.56 €",18.70 %,"272,391.46 €","222,234.56 €",18.70 %
Regresión Bayesiana,"272,841.03 €","222,014.46 €",18.70 %,,,
Regresión Ridge,"279,041.56 €","222,625.25 €",18.88 %,"272,450.93 €","222,201.59 €",18.70 %
Regresión Lasso,"606,096.78 €","584,693.47 €",73.68 %,,,
Random Forest,"244,589.14 €","251,869.06 €",16.83 %,"244,568.30 €","249,064.55 €",16.67 %
Gradient Boosting,"238,912.42 €","213,304.29 €",17.17 %,"240,397.53 €","222,664.36 €",16.92 %
AdaBoost,"296,677.90 €","292,789.66 €",21.96 %,,,
XGBoost,"244,612.88 €","215,842.82 €",17.40 %,"234,364.03 €","224,697.82 €",17.34 %
SVR Regresión,"273,693.24 €","252,483.06 €",18.93 %,,,
kNN Regresión,"353,461.73 €","336,544.08 €",26.43 %,,,
